PLAYER;TEAM;NUMBER;POSITION;WEIGHT;LAST ATTENDED;COUNTRY
"Precious
Achiuwa";NYK;5;F;243 lbs;Memphis;Nigeria
"Steven
Adams";HOU;12;C;265 lbs;Pittsburgh;New Zealand
"Bam
Adebayo";MIA;13;C-F;255 lbs;Kentucky;USA
"Ochai
Agbaji";TOR;30;G;215 lbs;Kansas;USA
"Santi
Aldama";MEM;7;F-C;215 lbs;Loyola-Maryland;Spain
"Nickeil
Alexander-Walker";MIN;9;G;205 lbs;Virginia Tech;Canada
"Grayson
Allen";PHX;8;G;198 lbs;Duke;USA
"Jarrett
Allen";CLE;31;C;243 lbs;Texas;USA
"Jose
Alvarado";NOP;15;G;179 lbs;Georgia Tech;USA
"Kyle
Anderson";MIN;1;F-G;230 lbs;UCLA;USA
"Giannis
Antetokounmpo";MIL;34;F;243 lbs;Filathlitikos;Greece
"Thanasis
Antetokounmpo";MIL;43;F;219 lbs;Panathinaikos;Greece
"Cole
Anthony";ORL;50;G;185 lbs;North Carolina;USA
"OG
Anunoby";NYK;8;F-G;240 lbs;Indiana;United Kingdom
"Ryan
Arcidiacono";;;G;195 lbs;Villanova;USA
"Deni
Avdija";WAS;8;F;210 lbs;Maccabi Tel Aviv;Israel
"Deandre
Ayton";POR;2;C;247 lbs;Arizona;Bahamas
"Udoka
Azubuike";PHX;27;C-F;270 lbs;Kansas;Nigeria
"Ibou
Badji";POR;41;C;240 lbs;FC Barcelona;Senegal
"Marvin
Bagley III";WAS;35;F;235 lbs;Duke;USA
"Amari
Bailey";CHA;10;G;185 lbs;UCLA;USA
"Patrick
Baldwin Jr.";WAS;7;F;220 lbs;Wisconsin-Milwaukee;USA
"LaMelo
Ball";CHA;1;G;180 lbs;Illawarra;USA
"Lonzo
Ball";CHI;2;G;190 lbs;UCLA;USA
"Mo
Bamba";PHI;5;C;231 lbs;Texas;USA
"Paolo
Banchero";ORL;5;F;250 lbs;Duke;USA
"Desmond
Bane";MEM;22;G;215 lbs;TCU;USA
"Dalano
Banton";POR;5;F;204 lbs;Nebraska;Canada
"Dominick
Barlow";SAS;26;F;215 lbs;Overtime Elite;USA
"Harrison
Barnes";SAC;40;F;225 lbs;North Carolina;USA
"Scottie
Barnes";TOR;4;F-G;237 lbs;Florida State;USA
"RJ
Barrett";TOR;9;F-G;214 lbs;Duke;Canada
"Charles
Bassey";SAS;28;C-F;230 lbs;Western Kentucky;Nigeria
"Emoni
Bates";CLE;21;F;170 lbs;Eastern Michigan;USA
"Keita
Bates-Diop";BKN;13;F;229 lbs;Ohio State;USA
"Nicolas
Batum";PHI;40;G-F;230 lbs;Le Mans;France
"Darius
Bazley";UTA;26;F;216 lbs;Princeton HS (OH);USA
"Bradley
Beal";PHX;3;G;207 lbs;Florida;USA
"Malik
Beasley";MIL;5;G;187 lbs;Florida State;USA
"MarJon
Beauchamp";MIL;3;F;199 lbs;NBA G League Ignite;USA
"Jules
Bernard";WAS;14;G;210 lbs;UCLA;USA
"Davis
Bertans";CHA;9;F;225 lbs;Baskonia;Latvia
"Patrick
Beverley";MIL;21;G;180 lbs;Arkansas;USA
"Saddiq
Bey";ATL;41;G-F;215 lbs;Villanova;USA
"Goga
Bitadze";ORL;35;C-F;250 lbs;Mega Basket;Georgia
"Onuralp
Bitim";CHI;17;F;215 lbs;Bursaspor;Turkey
"Bismack
Biyombo";OKC;15;C;255 lbs;Baloncesto Fuenlabrada;DRC
"Anthony
Black";ORL;0;G;200 lbs;Arkansas;USA
"Leaky
Black";CHA;12;F;209 lbs;North Carolina;USA
"Buddy
Boeheim";DET;27;F;205 lbs;Syracuse;USA
"Bogdan
Bogdanovic";ATL;13;G;225 lbs;Fenerbahce;Serbia
"Bojan
Bogdanovic";NYK;44;F;226 lbs;Fenerbahce;Croatia
"Bol
Bol";PHX;11;C-F;220 lbs;Oregon;Sudan
"Marques
Bolden";CHA;12;C;249 lbs;Duke;USA
"Devin
Booker";PHX;1;G;206 lbs;Kentucky;USA
"Brandon
Boston Jr.";LAC;4;G;188 lbs;Kentucky;USA
"Chris
Boucher";TOR;25;F;200 lbs;Oregon;Saint Lucia
"James
Bouknight";;;G;190 lbs;Connecticut;USA
"Jamaree
Bouyea";SAS;21;G;180 lbs;San Francisco;USA
"Malaki
Branham";SAS;22;F;180 lbs;Ohio State;USA
"Christian
Braun";DEN;0;G;220 lbs;Kansas;USA
"Mikal
Bridges";BKN;1;G-F;209 lbs;Villanova;USA
"Miles
Bridges";CHA;0;F;225 lbs;Michigan State;USA
"Oshae
Brissett";BOS;12;F-G;210 lbs;Syracuse;Canada
"Izaiah
Brockington";;;G;196 lbs;Iowa State;USA
"Malcolm
Brogdon";POR;11;G;229 lbs;Virginia;USA
"Armoni
Brooks";;;G;195 lbs;Houston;USA
"Dillon
Brooks";HOU;9;G-F;225 lbs;Oregon;Canada
"Bruce
Brown";TOR;11;G-F;202 lbs;Miami;USA
"Jaylen
Brown";BOS;7;G-F;223 lbs;California;USA
"Kendall
Brown";IND;10;G;205 lbs;Baylor;USA
"Kobe
Brown";LAC;21;F;250 lbs;Missouri;USA
"Moses
Brown";POR;10;C;258 lbs;UCLA;USA
"Greg
Brown III";DAL;36;F;206 lbs;Texas;USA
"Charlie
Brown Jr.";NYK;4;G;199 lbs;St. Joseph's (PA);USA
"Troy
Brown Jr.";DET;7;G-F;215 lbs;Oregon;USA
"Jalen
Brunson";NYK;11;G;190 lbs;Villanova;USA
"Thomas
Bryant";MIA;31;C-F;248 lbs;Indiana;USA
"Kobe
Bufkin";ATL;4;G;195 lbs;Michigan;USA
"Reggie
Bullock Jr.";HOU;25;G-F;205 lbs;North Carolina;USA
"Alec
Burks";NYK;18;G;214 lbs;Colorado;USA
"Jared
Butler";WAS;4;G;193 lbs;Baylor;USA
"Jimmy
Butler";MIA;22;F;230 lbs;Marquette;USA
"Jamal
Cain";MIA;8;F;191 lbs;Oakland;USA
"Kentavious
Caldwell-Pope";DEN;5;G;204 lbs;Georgia;USA
"Toumani
Camara";POR;33;F;226 lbs;Dayton;Belgium
"Vlatko
Cancar";DEN;31;F;236 lbs;San Pablo Burgos;Slovenia
"Clint
Capela";ATL;15;C;256 lbs;Elan Chalon;Switzerland
"Jevon
Carter";CHI;5;G;200 lbs;West Virginia;USA
"Wendell
Carter Jr.";ORL;34;C-F;270 lbs;Duke;USA
"D.J.
Carton";TOR;3;G;200 lbs;Marquette;USA
"Alex
Caruso";CHI;6;G;186 lbs;Texas A&M;USA
"Colin
Castleton";LAL;14;C;250 lbs;Florida;USA
"Malcolm
Cazalon";;;G;185 lbs;Mega Basket;France
"Julian
Champagnie";SAS;30;F;217 lbs;St. John's;USA
"Justin
Champagnie";WAS;99;G-F;206 lbs;Pittsburgh;USA
"Max
Christie";LAL;10;G;190 lbs;Michigan State;USA
"Sidy
Cissoko";SAS;25;G;200 lbs;NBA G League Ignite;France
"Jaylen
Clark";MIN;0;G;205 lbs;UCLA;USA
"Brandon
Clarke";MEM;15;F;215 lbs;Gonzaga;Canada
"Jordan
Clarkson";UTA;0;G;194 lbs;Missouri;USA
"Nic
Claxton";BKN;33;C;215 lbs;Georgia;USA
"Noah
Clowney";BKN;21;F;210 lbs;Alabama;USA
"Amir
Coffey";LAC;7;G-F;210 lbs;Minnesota;USA
"John
Collins";UTA;20;F-C;226 lbs;Wake Forest;USA
"Zach
Collins";SAS;23;F-C;250 lbs;Gonzaga;USA
"Mike
Conley";MIN;10;G;175 lbs;Ohio State;USA
"Pat
Connaughton";MIL;24;G;209 lbs;Notre Dame;USA
"Bilal
Coulibaly";WAS;0;G;195 lbs;Metropolitans 92;France
"Ricky
Council IV";PHI;16;G;207 lbs;Arkansas;USA
"Robert
Covington";PHI;33;F;209 lbs;Tennessee State;USA
"Torrey
Craig";CHI;13;F;221 lbs;South Carolina Upstate;USA
"Jae
Crowder";MIL;99;F;235 lbs;Marquette;USA
"Jalen
Crutcher";;;G;175 lbs;Dayton;USA
"Cade
Cunningham";DET;2;G;220 lbs;Oklahoma State;USA
"Seth
Curry";CHA;30;G;185 lbs;Duke;USA
"Stephen
Curry";GSW;30;G;185 lbs;Davidson;USA
"Dyson
Daniels";NOP;11;G;199 lbs;NBA G League Ignite;Australia
"Anthony
Davis";LAL;3;F-C;253 lbs;Kentucky;USA
"Johnny
Davis";WAS;1;G;195 lbs;Wisconsin;USA
"JD
Davison";BOS;20;G;195 lbs;Alabama;USA
"DeMar
DeRozan";CHI;11;G-F;220 lbs;Southern California;USA
"Dexter
Dennis";;;G;210 lbs;Texas A&M;USA
"Donte
DiVincenzo";NYK;0;G;203 lbs;Villanova;USA
"Moussa
Diabate";LAC;25;F;210 lbs;Michigan;France
"Mamadi
Diakite";NYK;21;F;228 lbs;Virginia;Guinea
"Hamidou
Diallo";;;G;202 lbs;Kentucky;USA
"Gradey
Dick";TOR;1;G-F;200 lbs;Kansas;USA
"Ousmane
Dieng";OKC;13;F;185 lbs;New Zealand Breakers;France
"Spencer
Dinwiddie";LAL;26;G;215 lbs;Colorado;USA
"Luka
Doncic";DAL;77;F-G;230 lbs;Real Madrid;Slovenia
"Luguentz
Dort";OKC;5;G;220 lbs;Arizona State;Canada
"Ayo
Dosunmu";CHI;12;G;200 lbs;Illinois;USA
"Jeff
Dowtin Jr.";PHI;11;G;177 lbs;Rhode Island;USA
"Henri
Drell";CHI;77;F;220 lbs;Victoria Libertas;Estonia
"Andre
Drummond";CHI;3;C;279 lbs;Connecticut;USA
"Chris
Duarte";SAC;3;G;190 lbs;Oregon;Dominican Republic
"David
Duke Jr.";SAS;28;G;204 lbs;Providence;USA
"Kris
Dunn";UTA;11;G;205 lbs;Providence;USA
"Kevin
Durant";PHX;35;F;240 lbs;Texas;USA
"Jalen
Duren";DET;0;C;250 lbs;Memphis;USA
"Tari
Eason";HOU;17;F;215 lbs;Louisiana State;USA
"Anthony
Edwards";MIN;5;G;225 lbs;Georgia;USA
"Kessler
Edwards";SAC;17;F;203 lbs;Pepperdine;USA
"Keon
Ellis";SAC;23;G;175 lbs;Alabama;USA
"Joel
Embiid";PHI;21;C-F;280 lbs;Kansas;Cameroon
"Drew
Eubanks";PHX;14;F-C;245 lbs;Oregon State;USA
"Tosan
Evbuomwan";DET;18;F;217 lbs;Princeton;United Kingdom
"Dante
Exum";DAL;0;G;214 lbs;Australian Institute of Sport;Australia
"Bruno
Fernando";ATL;24;F-C;240 lbs;Maryland;Angola
"Dorian
Finney-Smith";BKN;28;F;220 lbs;Florida;USA
"Adam
Flagler";OKC;14;G;180 lbs;Baylor;USA
"Malachi
Flynn";DET;18;G;185 lbs;San Diego State;USA
"Simone
Fontecchio";DET;19;F;209 lbs;Baskonia;Italy
"Jordan
Ford";SAC;31;G;175 lbs;St. Mary's College;USA
"Trent
Forrest";ATL;2;G;210 lbs;Florida State;USA
"Evan
Fournier";DET;31;G-F;205 lbs;Poitiers Basket 86;France
"De'Aaron
Fox";SAC;5;G;185 lbs;Kentucky;USA
"Javon
Freeman-Liberty";TOR;0;G;190 lbs;DePaul;USA
"Alex
Fudge";DAL;17;F;200 lbs;Florida;USA
"Markelle
Fultz";ORL;20;G;209 lbs;Washington;USA
"Andrew
Funk";CHI;;G;200 lbs;Penn State;USA
"Wenyen
Gabriel";;;F;205 lbs;Kentucky;South Sudan
"Daniel
Gafford";DAL;21;F-C;234 lbs;Arkansas;USA
"Danilo
Gallinari";MIL;12;F;236 lbs;Olimpia Milano;Italy
"Jaylin
Galloway";MIL;;F;190 lbs;Sydney Kings;Australia
"Darius
Garland";CLE;10;G;192 lbs;Vanderbilt;USA
"Usman
Garuba";GSW;12;F;229 lbs;Real Madrid;Spain
"Luka
Garza";MIN;55;C;243 lbs;Iowa;USA
"Kaiser
Gates";;;F;225 lbs;Xavier;USA
"Keyonte
George";UTA;3;G;185 lbs;Baylor;USA
"Paul
George";LAC;13;F;220 lbs;Fresno State;USA
"Taj
Gibson";DET;67;F;232 lbs;Southern California;USA
"Josh
Giddey";OKC;3;G;216 lbs;NBA Global Academy;Australia
"Harry
Giles III";LAL;20;F-C;240 lbs;Duke;USA
"Shai
Gilgeous-Alexander";OKC;2;G;195 lbs;Kentucky;Canada
"Anthony
Gill";WAS;16;F;230 lbs;Virginia;USA
"Collin
Gillespie";DEN;21;G;195 lbs;Villanova;USA
"Jacob
Gilyard";BKN;14;G;160 lbs;Richmond;USA
"Rudy
Gobert";MIN;27;C;258 lbs;Cholet;France
"Jordan
Goodwin";MEM;0;G;200 lbs;St. Louis;USA
"Aaron
Gordon";DEN;50;F;235 lbs;Arizona;USA
"Eric
Gordon";PHX;23;G;215 lbs;Indiana;USA
"Devonte'
Graham";SAS;4;G;195 lbs;Kansas;USA
"Jerami
Grant";POR;9;F;210 lbs;Syracuse;USA
"RaiQuan
Gray";SAS;0;F;269 lbs;Florida State;USA
"AJ
Green";MIL;20;G;190 lbs;Northern Iowa;USA
"Danny
Green";;;G;215 lbs;North Carolina;USA
"Draymond
Green";GSW;23;F;230 lbs;Michigan State;USA
"Jalen
Green";HOU;4;G;186 lbs;NBA G League Ignite;USA
"Javonte
Green";;;G;205 lbs;Radford University;USA
"Jeff
Green";HOU;32;F;235 lbs;Georgetown;USA
"Josh
Green";DAL;8;G;200 lbs;Arizona;Australia
"AJ
Griffin";ATL;14;F;220 lbs;Duke;USA
"Quentin
Grimes";DET;24;G;210 lbs;Houston;USA
"Mouhamadou
Gueye";TOR;16;F;210 lbs;Pittsburgh;USA
"Mouhamed
Gueye";ATL;18;F;210 lbs;Washington State;Senegal
"Rui
Hachimura";LAL;28;F;230 lbs;Gonzaga;Japan
"Ashton
Hagans";POR;22;G-F;190 lbs;Kentucky;USA
"Tyrese
Haliburton";IND;0;G;185 lbs;Iowa State;USA
"R.J.
Hampton";;;G;175 lbs;New Zealand Breakers;USA
"Tim
Hardaway Jr.";DAL;10;G-F;205 lbs;Michigan;USA
"James
Harden";LAC;1;G;220 lbs;Arizona State;USA
"Jaden
Hardy";DAL;1;G;198 lbs;NBA G League Ignite;USA
"Ron
Harper Jr.";;;G-F;233 lbs;Rutgers;USA
"Gary
Harris";ORL;14;G;210 lbs;Michigan State;USA
"Joe
Harris";;;G-F;220 lbs;Virginia;USA
"Kevon
Harris";ORL;8;G;216 lbs;Stephen F. Austin;USA
"Tobias
Harris";PHI;12;F;226 lbs;Tennessee;USA
"Shaquille
Harrison";;;G;195 lbs;Tulsa;USA
"Josh
Hart";NYK;3;G;215 lbs;Villanova;USA
"Isaiah
Hartenstein";NYK;55;C-F;250 lbs;Zalgiris;Germany
"Sam
Hauser";BOS;30;F;217 lbs;Virginia;USA
"Jordan
Hawkins";NOP;24;G;190 lbs;Connecticut;USA
"Jaxson
Hayes";LAL;11;C-F;220 lbs;Texas;USA
"Killian
Hayes";;;G;195 lbs;Ratiopharm Ulm;France
"Gordon
Hayward";OKC;33;F;225 lbs;Butler;USA
"Scoot
Henderson";POR;0;G;202 lbs;NBA G League Ignite;USA
"Taylor
Hendricks";UTA;0;F;215 lbs;Central Florida;USA
"Tyler
Herro";MIA;14;G;195 lbs;Kentucky;USA
"Buddy
Hield";PHI;17;G;220 lbs;Oklahoma;Bahamas
"Haywood
Highsmith";MIA;24;F;220 lbs;Wheeling Jesuit;USA
"Malcolm
Hill";NOP;33;F;220 lbs;Illinois;USA
"Nate
Hinton";HOU;14;G-F;210 lbs;Houston;USA
"D'Moi
Hodge";;;G;188 lbs;Missouri;British Virgin Islands
"Aaron
Holiday";HOU;0;G;185 lbs;UCLA;USA
"Jrue
Holiday";BOS;4;G;205 lbs;UCLA;USA
"Justin
Holiday";DEN;9;F-G;180 lbs;Washington;USA
"Richaun
Holmes";WAS;22;F;235 lbs;Bowling Green;USA
"Chet
Holmgren";OKC;7;C-F;208 lbs;Gonzaga;USA
"Jalen
Hood-Schifino";LAL;0;G;215 lbs;Indiana;USA
